Year,Period,Agriculture,CropProduction,Livestock,Forestry,Fishing,Industry,MiningAndQuarrying,CrudePetroleumAndNaturalGas,CoalMining,MetalOres,QuarryingAndOtherMinerals,Manufacturing,OilRefining,Cement,FoodBeverageAndTobacco,TextileApparelAndFootwear,WoodAndWoodProducts,PulpPaperAndPaperProducts,ChemicalAndPharmaceuticalProducts,NonMetallicProducts,PlasticAndRubberProducts,ElectricalAndElectronics,BasicMetalIronAndSteel,MotorVehiclesAndAssembly,OtherManufacturing,ElectricityGasSteamAndAirCon,WaterSupplySewageWaste,Construction,Services,Trade,AccommodationAndFoodServices,TransportationAndStorage,RoadTransport,RailTransportAndPipelines,WaterTransport,AirTransport,TransportServices,PostAndCourierServices,InformationAndCommunication,Publishing,MotionPicturesSoundRecordingAndMusicProduction,Broadcasting,ArtsEntertainmentAndRecreation,FinanceAndInsurance,FinancialInstitutions,Insurance,RealEstate,ProfessionalScientificAndTechnicalServices,AdministrativeAndSupportServicesBusinessServices,PublicAdministration,Education,HumanHealthAndSocialServices,OtherServices,GDPatCurrentBasicPrices,NetTaxesOnProducts,GDPatCurrentMarketPrices
2002,Annual,4251.52,3875.46,271.03,36.23,68.81,2650.03,1051.29,1042,1.45,0.69,7.15,1358.53,57.46,35.27,899.04,137.89,48.26,9.53,9.84,23.29,13.24,0.98,27.62,8.56,87.53,47.29,15.79,177.13,4482.11,1494.24,20.88,216.48,180.24,0.05,2.51,14.03,12.31,7.34,320.32,2.85,103.88,141.16,6.71,299.72,257.57,42.16,712.75,81.04,0.62,730.95,273.22,130.09,195.1,11383.66,117.79,11501.45
2003,Annual,4585.93,4161.57,299.22,44.13,81.01,3525.14,1598.74,1588.09,1.45,0.69,8.51,1635.05,72.27,42.13,1090.2,167.21,58.52,11.55,11.94,28.24,16.06,1.19,28.05,10.38,97.3,56.52,17.39,217.44,5306.95,1783.85,24.67,268.65,231.01,0.06,2.55,15.37,12.8,6.87,399.23,3.45,122.76,171.9,7.92,302.28,263.87,38.41,945.48,96.02,0.74,804.12,300.57,142.86,230.56,13418.01,138.96,13556.97
2004,Annual,4935.26,4419.06,360.8,56.39,99,5145.43,2476.23,2460.55,1.68,0.79,13.21,1968.56,93.45,54.47,1316.51,201.92,70.67,13.95,14.41,34.11,19.39,1.44,31.38,12.54,104.3,67.91,19.66,613.07,7857.69,2871.53,76.13,428.43,386.9,0.06,2.75,16.76,14.1,7.85,547.72,4.17,155.79,218.16,10.06,386.92,334.29,52.63,1447.48,396.75,3.05,900.68,336.66,159.67,292.61,17938.38,185.68,18124.06
2005,Annual,6032.33,5372.2,463.42,67.45,129.26,6520.74,3301.43,3281.47,1.55,0.9,17.52,2326.31,120.84,84.55,1536.83,235.72,82.5,16.28,16.83,39.82,22.64,1.68,33.4,14.64,120.59,74.27,22.16,796.56,10331.83,3614.03,99.52,452.56,406.75,0.07,2.97,18.29,15.53,8.96,788.41,4.87,197.1,269.76,12.72,495.62,423.51,72.11,2216,685.25,5.26,1026.84,383.82,181.61,370.19,22884.9,236.98,23121.88
2006,Annual,7513.3,6723.22,560.25,80.2,149.64,7822.11,4075.35,4044.97,1.42,1.34,27.63,2689.08,155.88,117.27,1758.48,269.71,94.39,18.63,19.25,45.56,25.9,1.92,36.73,16.75,128.59,109.05,24.54,924.08,14728.56,5303.85,124.43,519.93,466.92,0.07,3.21,22.41,17.1,10.22,1948.34,5.57,249.35,333.45,16.1,1107.45,965.26,142.19,2490.71,927.45,7.12,1170.7,437.57,206.59,468.33,30063.96,311.22,30375.18
2007,Annual,8551.98,7654.22,642.28,91.5,163.99,8441.76,4398.96,4363.63,1.86,1.62,31.85,2913.26,172.1,148.35,1903.23,291.91,102.16,20.17,20.84,49.31,28.04,2.08,40.98,18.13,115.97,116.63,29.29,983.63,17324.92,5889.95,157.31,558.98,499.17,0.09,3.54,25.44,18.95,11.79,2744.79,6.03,319.53,414.21,20.63,1279.61,1107.32,172.29,2836.99,1155.32,8.87,1349,491.61,231.72,600.14,34318.67,357.28,34675.94
2008,Annual,10100.33,9039.63,758.84,108.1,193.75,9874.38,5310.95,5270.01,2.43,1.87,36.64,3263.82,198.02,170.69,2133.52,327.24,114.53,22.61,23.36,55.27,31.43,2.33,45.98,20.32,118.55,134.19,33.7,1131.72,19567.72,6776.71,185.86,565.86,505.16,0.09,3.59,25.75,19.18,12.1,2856.35,6.76,367.46,424.98,23.72,1471.55,1273.42,198.13,3262.54,1328.62,10.2,1551.35,580.59,264.21,690.16,39542.43,411.78,39954.21
2009,Annual,11625.44,10419.6,863.4,121.25,221.18,9229.81,4343.06,4297.07,2.78,2.09,41.12,3406.69,224.55,194.49,2207.11,338.52,118.48,23.39,24.17,57.18,32.51,2.41,44.59,21.02,118.27,158.66,37.92,1283.47,22157.26,7897.09,213.73,599.5,533.85,0.1,3.78,29.2,20.29,12.28,2979.48,6.99,417.59,447.23,26.96,1668.85,1442.61,226.24,3718.45,1510.66,11.6,1758.45,694.1,294.09,784.32,43012.51,448.95,43461.46
2010,Q1,2594.76,2262.18,237.3,30.42,64.86,3284.29,1952.21,1937.63,1.11,0.81,12.65,875.41,63.52,54.47,565.18,80.3,30.76,5.98,6.25,14.95,8.39,0.62,10.99,5.26,28.73,44.52,10.77,401.38,6704.43,2191.34,63.14,144.85,129.03,0.02,0.83,7.22,3.98,3.77,1448.81,2.16,124.07,150.1,7.61,489.15,428.15,61,888.23,406.16,3.2,497.14,205.69,85.6,273.51,12583.48,206.9,12790.38
2010,Q2,2873.38,2561.46,216.1,34.38,61.43,3314.21,1993.68,1983.89,0.86,0.66,8.26,880.64,63.47,54.9,568.09,81.38,30.95,6.05,6.27,15.08,8.42,0.62,11.03,5.42,28.97,40.13,11.21,388.55,6746.94,2234.2,52.91,176.51,158.93,0.03,1.12,7.77,5.08,3.57,1432.94,1.71,108.98,118.14,6.03,481,412.56,68.44,972.28,425.06,3.42,479.66,212.77,81.77,188.39,12934.53,206.97,13141.5
2010,Q3,4000.03,3660.1,247.97,33.75,58.21,3422.53,2104.92,2092.03,0.4,0.55,11.94,892.15,63.62,55.56,574.13,87.4,29.92,6.18,6.31,13.97,8.48,0.63,11.1,5.79,29.06,44.53,11.75,369.19,6881.88,2230.76,65.72,177.67,157.5,0.02,1.29,8.71,6.29,3.86,1489.95,2.26,125.34,118.85,7.96,453.04,390.91,62.13,1062.7,438.72,3.31,471.73,203.3,79.49,197.53,14304.44,212.15,14516.59
2010,Q4,3580.73,3200.16,278.19,37.17,65.21,3805.4,2403.74,2389.12,0.84,0.33,13.45,930.45,64.55,56.15,591.13,103.46,31.75,6.15,6.34,15.55,8.58,0.64,11.35,5.42,29.39,50.29,9.07,411.85,7403.69,2336.35,64,195.74,173.68,0.04,0.98,8.97,7.3,4.78,1583.36,2.65,120.8,148.01,9.34,485.62,417.12,68.51,1204.78,441.75,3.2,549.93,204.91,84.11,240.59,14789.82,231.06,15020.88
2010,Annual,13048.89,11683.9,979.56,135.72,249.71,13826.43,8454.55,8402.68,3.22,2.35,46.3,3578.64,255.16,221.09,2298.52,352.54,123.38,24.36,25.17,59.55,33.86,2.51,44.47,21.89,116.14,179.47,42.79,1570.97,27736.94,8992.65,245.76,694.77,619.14,0.11,4.23,32.67,22.65,15.98,5955.06,8.78,479.19,535.1,30.93,1908.81,1648.74,260.07,4127.99,1711.7,13.14,1998.47,826.67,330.96,900.02,54612.26,857.09,55469.35
2011,Q1,2768.47,2389.95,270.21,32.3,76.01,4437.66,2899.24,2882.73,1.3,0.9,14.3,1020.31,72.79,55.26,627.03,106.77,32.38,6.9,5.2,23.71,19.25,1.03,23.87,6.59,39.54,69.13,11.13,437.85,7295.33,2517.34,67.47,115.85,93.65,0.02,0.92,12.41,4.96,3.89,1494.64,2.61,125.41,175.31,20,364.73,298.79,65.94,975.75,475.86,3.56,617.92,242.29,99.42,300.49,14501.45,184.67,14686.11
2011,Q2,3000.7,2610.18,278.13,40.39,72.01,4455.24,2842.97,2830.85,1.06,0.82,10.23,1106.83,72.74,60.64,655.79,145.29,33.88,7.32,11.82,24.83,20.12,1.12,25.15,6.98,41.15,64.52,12.67,428.25,7599.02,2542.08,56.84,150.18,123.99,0.04,1.39,13.66,7.02,4.08,1607.98,2.12,143,149.24,22.81,399.92,322.54,77.38,1144.87,525.22,3.59,589.6,231.67,102.05,222.2,15054.96,174.84,15229.8
2011,Q3,4283.26,3925.05,257.18,37.9,63.14,4373.71,2682,2667.52,0.49,0.62,13.37,1177.46,72.74,66.31,677.73,172.25,36.6,8.01,12.19,27.69,21.05,1.27,26.89,7.15,47.58,66.37,12.16,435.73,7506.68,2492.96,75.14,194.97,164.73,0.03,1.59,15.79,8.84,3.99,1483.37,3.58,124.09,136.67,19.79,346.47,279.49,66.99,1167.92,560.08,3.82,582.19,275.53,90.58,213.86,16163.64,205.27,16368.91
2011,Q4,3985.4,3559.68,310.09,42.46,73.18,4586.51,2674.78,2658.31,1.03,0.37,15.06,1222.85,73.48,68.87,706.99,185.36,36.55,8.22,12.24,26.97,21.57,1.36,30.14,7.17,43.94,75.83,9.3,603.74,8688.44,2773.18,83.92,318.36,288.44,0.05,1.14,14.64,9.2,4.89,1793.57,4,123.02,177.83,19.62,382.62,308.97,73.65,1296.43,614.57,3.84,681.53,361.23,95.15,264.42,17260.35,168.19,17428.53
2011,Annual,14037.83,12484.85,1115.6,153.05,284.33,17853.11,11098.98,11039.41,3.88,2.71,52.97,4527.45,291.75,251.08,2667.54,609.68,139.41,30.45,41.45,103.19,82,4.78,106.04,27.88,172.2,275.85,45.26,1905.57,31089.46,10325.57,283.38,779.35,670.8,0.14,5.04,56.49,30.01,16.86,6379.56,12.31,515.52,639.05,82.23,1493.74,1209.78,283.96,4584.96,2175.73,14.81,2471.24,1110.72,387.19,1000.97,62980.4,732.96,63713.36
